대표메뉴명,요리재료,출처
제육볶음,돼지고기 식용유 고추장 설탕 진간장 다진파 다진마늘 다진생각 후추 깨소금 참기름,한식조리기능사
오징어볶음,오징어 양파 홍고추 풋고추 대파 소금 식용유 고추장 고춧가루 설탕 다진파 마늘 생강 후추 깨 참기름 간장,한식조리기능사
소불고기,소고기 진간장 물엿 다진마늘 후추 배 대파 올리고당 참기름 맛술 생강가루 양파 당근,만개의 레시피(추천순)
갈비찜,돼지갈비 감자 당근 양파 대파 마늘 간장 설탕 매실청 올리고당 생강가루 후춧가루 맛술 깨소금,만개의 레시피(추천순)
두부김치,두부 신김치 삼겹살 양파 당근 대파 고추 설탕 고춧가루 진간장 다진마늘 참기름,만개의 레시피(추천순)
고등어조림,고등어 무 양파 대파 청양고추 설탕 다진마늘 다진생강 된장 진간장 들기름 고추가루,만개의 레시피(추천순)
떡갈비,다진소고기 돼지고기다짐육 간장 설탕 올리고당 참기름 마늘 생강즙 배즙 다진파,만개의 레시피(추천순)
닭갈비,닭안심 양파 당근 양배추 감자 깻잎 식용유 간장 고추장 고추가루 맛술 설탕 들기름 카레가루 다진마늘 후추 맛소금,만개의 레시피(추천순)
돈까스,식용유 돼지등신 튀김가루 빵가루 소금 후추 양배추 밀가루 버터 식초 간장 설탕 케챱 물,만개의 레시피(추천순)
찜닭,닭 양파 당근 건표고버섯 달걀 은행 식용유 마늘 대파 생강 간장 설탕 참기름 후추 깨,한식조리기능사
